#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2004.52260,5.17000,,,
2004.52440,,10.87000,,
2004.54970,4.07000,,,
2004.55160,,9.77000,,
2004.57710,5.97000,,,
2004.57870,,8.07000,,
2004.60600,,10.67000,,
2004.60630,14.97000,,,
2004.63300,,14.57000,,
2004.63310,17.97000,,,
2004.66010,,15.47000,,
2004.66020,16.17000,,,
2004.68700,12.37000,,,
2004.68730,,18.37000,,
2004.71430,17.17000,,,
2004.71450,,22.37000,,
2004.74160,,18.87000,,
2004.74170,14.37000,,,
2004.76860,25.17000,,,
2004.76870,,21.17000,,
2004.79590,,22.67000,,
2004.79600,23.47000,,,
2004.82310,18.57000,,,
2004.82320,,21.27000,,
2004.85020,16.47000,21.57000,,
2004.87730,16.47000,,,
2004.87740,,21.27000,,
2004.90440,,15.17000,,
2004.90450,15.37000,,,
2004.93170,,17.67000,,
2004.93180,21.77000,,,
2004.95410,18.37000,,,
2004.95900,,17.67000,,
2004.98590,14.87000,,,
2004.98600,,22.57000,,
2005.01290,3.07000,,,
2005.01310,,16.47000,,
2005.04010,5.47000,,,
2005.04020,,14.67000,,
2005.06750,11.17000,15.77000,,
2005.09450,16.47000,13.97000,,
2005.12170,12.87000,13.97000,,
2005.14880,5.27000,,,
2005.14910,,13.07000,,
2005.17590,8.27000,16.07000,,
2005.20310,,14.17000,,
2005.20330,6.97000,,,
2005.23010,,8.77000,,
2005.23030,7.07000,,,
2005.25740,10.07000,9.27000,,
2005.28440,,14.07000,,
2005.28470,13.57000,,,
2005.31060,3.57000,,,
2005.31170,,11.17000,,
2005.33890,,12.27000,,
2005.33940,4.57000,,,
2005.36590,7.87000,,,
2005.36600,,12.07000,,
2005.39320,11.87000,,,
2005.39330,,11.07000,,
2005.42000,8.47000,,,
2005.42030,,11.47000,,
2005.44740,7.77000,12.77000,,
2005.47450,3.27000,,,
2005.47460,,13.27000,,
2005.50170,1.47000,12.87000,,
2005.52890,,15.87000,,
2005.52910,6.97000,,,
2005.55600,,12.97000,,
2005.55610,11.27000,,,
2005.58310,15.77000,,,
2005.58330,,15.77000,,
2005.61020,15.37000,,,
2005.61030,,14.87000,,
2005.63760,,17.07000,,
2005.63770,11.17000,,,
2005.66460,,20.27000,,
2005.66470,11.17000,,,
2005.69170,17.57000,,,
2005.69180,,22.47000,,
2005.71370,,22.97000,,
2005.71900,23.77000,,,
2005.74620,23.37000,,,
2005.75110,,24.17000,,
2005.76560,23.97000,,,
2005.77340,,25.57000,,
2005.80040,,24.77000,,
2005.82750,,25.27000,,
2005.85470,,28.07000,,
2005.88180,,26.97000,,
2005.90910,,24.67000,,
2005.93620,,24.57000,,
2005.96330,,24.27000,,
2005.99060,,23.37000,,
2006.01760,,20.37000,,
2006.04470,,14.67000,,
2006.07190,,16.27000,,
2006.09910,,16.07000,,
2006.12620,,14.27000,,
2006.15350,,13.77000,,
2006.18040,,14.27000,,
2006.20760,,9.67000,,
2006.23470,,13.17000,,
2006.26190,,12.07000,,
2006.28900,,11.67000,,
2006.31630,,11.47000,,
2006.34330,,11.67000,,
2006.37050,,14.97000,,
2006.39750,,14.97000,,
2006.42480,,14.57000,,
2006.45190,,14.17000,,
2006.47910,,13.77000,,
2006.50640,,15.77000,,
2006.53340,,16.17000,,
2006.56050,,16.37000,,
2006.58770,,15.87000,,
2006.61480,,14.57000,,
2006.64200,,19.17000,,
